bin_center,sigma,d_sigma
879000.0,0.05580000000000001,0.00172
881000.0,0.0,0.0
883000.0,0.0,0.0
885000.0,0.066,0.006
887000.0,0.00404,0.0
889000.0,0.0,0.0
891000.0,0.0,0.0
893000.0,0.0,0.0
895000.0,0.0722,0.00224
897000.0,0.0,0.0
899000.0,0.052736,0.00030332
901000.0,0.0,0.0
903000.0,0.0,0.0
905000.0,0.0,0.0
907000.0,0.00574,0.0
909000.0,0.09400000000000001,0.00286
911000.0,0.0,0.0
913000.0,0.0,0.0
915000.0,0.0,0.0
917000.0,0.0073092,0.0
919000.0,0.0,0.0
921000.0,0.0,0.0
923000.0,0.1204,0.0037
925000.0,0.007679999999999999,0.0
927000.0,0.0,0.0
929000.0,0.0,0.0
931000.0,0.0,0.0
933000.0,0.148,0.013400000000000002
935000.0,0.0,0.0
937000.0,0.0,0.0
939000.0,0.1522,0.004659999999999999
941000.0,0.0109348,0.0
943000.0,0.0,0.0
945000.0,0.01064,0.0
947000.0,0.0,0.0
949000.0,0.0,0.0
951000.0,0.11675,0.0005796
953000.0,0.1932,0.006
955000.0,0.0,0.0
957000.0,0.0,0.0
959000.0,0.0,0.0
961000.0,0.0,0.0
963000.0,0.0,0.0
965000.0,0.032144400000000004,0.0
967000.0,0.0,0.0
969000.0,0.24400000000000002,0.007459999999999999
971000.0,0.0,0.0
973000.0,0.0,0.0
975000.0,0.01786,0.0
977000.0,0.0,0.0
979000.0,0.0,0.0
981000.0,0.0,0.0
983000.0,0.304,0.00936
985000.0,0.020200000000000003,0.0
987000.0,0.0,0.0
989000.0,0.023408,0.0
991000.0,0.2608,0.048
993000.0,0.317752808988764,0.025439949120152638
995000.0,0.2608,0.048
997000.0,0.2608245371763854,0.0479789730566847
999000.0,0.2518591456853271,0.0012503990710215553
1001000.0,0.3077341210051191,0.0422902816395484
1003000.0,0.3167037125013811,0.0495147855700197
1005000.0,0.316799261745541,0.0495993461215158
1007000.0,0.3168,0.049600000000000005
1009000.0,0.31774584658574734,0.0486344402447392
1011000.0,0.3647143603939528,0.0543030138866689
1013000.0,0.3647999999999999,0.0544
1015000.0,0.3647999999999999,0.0544
