EN (EV) 1.1,DATA (B) 0.1
2.604000e+6,4.505500e-2
2.607700e+6,3.813900e-2
2.613800e+6,3.139300e-2
2.620000e+6,2.779000e-2
2.626100e+6,2.571400e-2
2.632300e+6,2.448400e-2
2.638400e+6,2.381800e-2
2.644600e+6,2.366200e-2
2.650800e+6,2.421300e-2
2.656900e+6,2.633800e-2
2.663100e+6,3.422100e-2
2.664300e+6,3.789800e-2
2.665500e+6,4.319300e-2
2.666700e+6,5.100100e-2
2.668000e+6,6.260700e-2
2.669200e+6,7.920900e-2
2.670400e+6,9.920300e-2
2.671700e+6,1.128200e-1
2.672900e+6,1.076300e-1
2.674100e+6,8.840200e-2
2.675400e+6,6.883800e-2
2.676600e+6,5.440300e-2
2.677800e+6,4.468900e-2
2.679000e+6,3.821300e-2
2.680300e+6,3.380800e-2
2.681500e+6,3.072500e-2
2.682700e+6,2.850600e-2
2.684000e+6,2.686500e-2
2.685200e+6,2.562400e-2
2.686400e+6,2.466500e-2
2.687700e+6,2.391100e-2
2.693800e+6,2.182200e-2
2.700000e+6,2.098900e-2
2.706100e+6,2.065800e-2
2.712300e+6,2.061700e-2
2.718400e+6,2.081800e-2
2.724600e+6,2.130900e-2
2.730700e+6,2.226600e-2
2.736900e+6,2.416100e-2
2.743000e+6,2.844600e-2
2.749200e+6,4.096500e-2
2.750400e+6,4.606500e-2
2.751600e+6,5.280000e-2
2.752900e+6,6.159200e-2
2.754100e+6,7.260800e-2
2.755300e+6,8.511500e-2
2.756500e+6,9.612500e-2
2.757800e+6,1.011300e-1
2.759000e+6,9.734300e-2
2.760200e+6,8.693800e-2
2.761500e+6,7.458200e-2
2.767600e+6,3.945000e-2
2.773800e+6,3.208400e-2
2.779900e+6,3.334800e-2
2.786100e+6,4.305300e-2
2.792200e+6,7.988300e-2
2.793500e+6,9.661000e-2
2.794700e+6,1.195500e-1
2.795900e+6,1.500900e-1
2.797100e+6,1.869500e-1
2.798400e+6,2.215000e-1
2.799600e+6,2.366300e-1
2.800800e+6,2.214600e-1
2.802100e+6,1.860300e-1
2.803300e+6,1.479300e-1
2.804500e+6,1.163900e-1
2.805800e+6,9.281700e-2
2.807000e+6,7.574800e-2
2.808200e+6,6.338900e-2
2.809400e+6,5.433000e-2
2.810700e+6,4.757200e-2
2.816800e+6,3.084700e-2
2.823000e+6,2.490700e-2
2.829100e+6,2.221300e-2
2.835300e+6,2.079900e-2
2.841400e+6,1.998700e-2
2.847600e+6,1.949700e-2
2.853700e+6,1.919600e-2
2.859900e+6,1.901500e-2
2.866000e+6,1.891600e-2
2.872200e+6,1.887500e-2
2.878300e+6,1.887900e-2
2.884500e+6,1.891900e-2
2.890600e+6,1.899000e-2
2.896800e+6,1.908900e-2
2.902900e+6,1.921300e-2
2.909100e+6,1.936400e-2
2.915200e+6,1.954000e-2
2.921400e+6,1.974300e-2
2.927600e+6,1.997700e-2
2.933700e+6,2.024400e-2
2.939900e+6,2.055100e-2
2.946000e+6,2.090300e-2
2.952200e+6,2.131000e-2
2.958300e+6,2.178300e-2
2.964500e+6,2.233800e-2
2.970600e+6,2.299800e-2
2.976800e+6,2.379000e-2
2.982900e+6,2.475500e-2
2.989100e+6,2.594400e-2
2.995200e+6,2.743100e-2
3.001400e+6,2.930600e-2
3.007500e+6,3.168600e-2
3.013700e+6,3.469600e-2
3.019800e+6,3.842700e-2
3.026000e+6,4.284400e-2
3.032100e+6,4.762900e-2
3.038300e+6,5.208400e-2
3.044400e+6,5.526800e-2
3.046900e+6,5.601800e-2
3.049300e+6,5.644200e-2
3.050600e+6,5.653400e-2
3.051800e+6,5.655200e-2
3.053000e+6,5.649600e-2
3.054300e+6,5.637800e-2
3.055500e+6,5.619600e-2
3.056700e+6,5.595700e-2
3.058000e+6,5.567200e-2
3.059200e+6,5.534500e-2
3.060400e+6,5.498000e-2
3.061600e+6,5.458800e-2
3.062900e+6,5.417600e-2
3.069000e+6,5.192000e-2
3.075200e+6,4.971500e-2
3.081300e+6,4.782300e-2
3.093600e+6,4.522100e-2
3.105900e+6,4.405700e-2
3.118200e+6,4.400500e-2
3.130500e+6,4.482100e-2
3.142800e+6,4.637200e-2
3.155100e+6,4.860600e-2
3.167400e+6,5.151800e-2
3.179700e+6,5.516800e-2
3.192100e+6,5.963900e-2
3.204400e+6,6.504700e-2
3.216700e+6,7.152300e-2
3.229000e+6,7.920300e-2
3.241300e+6,8.817100e-2
3.253600e+6,9.837000e-2
3.265900e+6,1.094300e-1
3.278200e+6,1.204600e-1
3.290500e+6,1.298000e-1
3.302800e+6,1.352200e-1
3.315100e+6,1.346300e-1
3.327400e+6,1.273800e-1
3.339700e+6,1.150600e-1
3.352000e+6,1.008800e-1
3.364300e+6,8.866500e-2
3.376600e+6,8.306400e-2
3.379000e+6,8.339200e-2
3.381500e+6,8.442000e-2
3.384000e+6,8.627800e-2
3.386400e+6,8.909300e-2
3.388900e+6,9.295800e-2
3.391300e+6,9.788700e-2
3.393800e+6,1.037000e-1
3.395000e+6,1.067900e-1
3.396300e+6,1.098800e-1
3.397500e+6,1.128200e-1
3.398700e+6,1.154700e-1
3.400000e+6,1.176300e-1
3.401200e+6,1.191400e-1
3.402400e+6,1.198400e-1
3.403600e+6,1.196200e-1
3.404900e+6,1.184300e-1
3.406100e+6,1.163100e-1
3.407300e+6,1.133400e-1
3.408600e+6,1.096600e-1
3.409800e+6,1.054400e-1
3.411000e+6,1.008600e-1
3.412300e+6,9.610100e-2
3.413500e+6,9.128600e-2
3.414700e+6,8.653600e-2
3.416000e+6,8.193600e-2
3.417200e+6,7.754500e-2
3.418400e+6,7.339200e-2
3.419600e+6,6.949600e-2
3.420900e+6,6.586600e-2
3.422100e+6,6.249200e-2
3.423300e+6,5.936600e-2
3.424600e+6,5.647300e-2
3.425800e+6,5.379400e-2
3.428300e+6,4.903000e-2
3.430700e+6,4.493700e-2
3.433200e+6,4.140300e-2
3.435600e+6,3.833300e-2
3.438100e+6,3.564600e-2
3.444200e+6,3.021000e-2
3.450400e+6,2.608300e-2
3.456500e+6,2.284000e-2
3.462700e+6,2.022100e-2
3.475000e+6,1.625000e-2
3.487300e+6,1.338800e-2
3.499600e+6,1.124400e-2
3.511900e+6,9.598200e-3
3.524200e+6,8.313000e-3
3.536500e+6,7.298900e-3
