DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (PER-CENT) 1.911
0.003317,1.01e-4,1.6527e+6,0.15
0.003631,1.06e-4,1.6567e+6,0.15
0.00353,1.04e-4,1.6607e+6,0.15
0.003916,1.1e-4,1.6648e+6,0.15
0.003662,1.06e-4,1.6688e+6,0.15
0.003797,1.08e-4,1.6738e+6,0.15
0.003993,1.11e-4,1.6778e+6,0.15
0.003997,1.12e-4,1.6818e+6,0.15
0.004072,1.12e-4,1.6858e+6,0.15
0.00439,1.17e-4,1.6898e+6,0.15
0.004258,1.15e-4,1.6948e+6,0.15
0.004198,1.14e-4,1.6988e+6,0.15
0.004266,1.15e-4,1.7028e+6,0.15
0.004632,1.2e-4,1.7068e+6,0.15
0.004795,1.21e-4,1.7118e+6,0.15
0.004913,1.23e-4,1.7138e+6,0.15
0.004828,1.22e-4,1.7158e+6,0.15
0.004873,1.22e-4,1.7178e+6,0.15
0.005009,1.24e-4,1.7198e+6,0.15
0.005346,1.27e-4,1.7218e+6,0.15
0.005196,1.26e-4,1.7238e+6,0.15
0.005418,1.29e-4,1.7268e+6,0.15
0.005468,1.3e-4,1.7288e+6,0.15
0.00554,1.31e-4,1.7308e+6,0.15
0.005802,1.33e-4,1.7328e+6,0.15
0.006016,1.36e-4,1.7348e+6,0.15
0.005952,1.35e-4,1.7368e+6,0.15
0.006422,1.4e-4,1.7388e+6,0.15
0.006615,1.42e-4,1.7418e+6,0.15
0.0069,1.45e-4,1.7438e+6,0.15
0.006809,1.44e-4,1.7478e+6,0.15
0.006436,1.4e-4,1.7498e+6,0.15
0.006566,1.42e-4,1.7518e+6,0.15
0.006404,1.4e-4,1.7538e+6,0.15
0.006457,1.41e-4,1.7568e+6,0.15
0.006227,1.38e-4,1.7588e+6,0.15
0.006421,1.4e-4,1.7608e+6,0.15
0.00636,1.39e-4,1.7628e+6,0.15
0.006518,1.41e-4,1.7648e+6,0.15
0.006471,1.4e-4,1.7668e+6,0.15
0.006721,1.43e-4,1.7698e+6,0.15
0.00649,1.41e-4,1.7718e+6,0.15
0.00659,1.42e-4,1.7738e+6,0.15
0.006577,1.42e-4,1.7758e+6,0.15
0.006623,1.42e-4,1.7778e+6,0.15
0.006608,1.42e-4,1.7798e+6,0.15
