EN (EV) 1.1,DATA (B) 0.1
5.899,205.1716
5.909,243.5895
5.919,273.4623
5.929,273.0675
5.939,256.5554
5.939,281.0894
5.948,254.1290
5.958,227.9073
5.968,189.8927
5.978,177.0837
5.988,158.7420
5.997,145.3380
6.007,136.1173
6.018,135.9207
6.028,144.0552
6.038,148.0206
6.048,162.3396
6.058,204.2219
6.068,283.2123
6.079,388.1166
6.088,431.6847
6.098,387.9104
6.106,319.6345
6.116,273.3545
6.126,244.2937
6.136,213.2529
6.146,191.1608
6.157,180.6808
6.167,173.7460
6.177,175.8013
6.187,171.9049
6.197,176.7530
6.207,177.0133
6.216,179.3269
6.226,175.6308
6.236,174.6035
6.246,170.9656
6.256,175.2364
6.266,179.4958
6.276,185.5165
6.286,196.2923
6.296,204.4256
6.306,211.8915
6.316,226.4808
6.325,230.7019
6.335,227.7662
6.345,231.3092
6.355,221.9467
6.365,217.1284
6.375,207.1835
6.385,197.9143
6.395,189.9595
6.405,174.9799
6.415,166.3624
6.425,161.9500
6.435,155.8275
6.444,153.6066
6.454,153.9179
6.464,154.8951
6.474,154.0134
6.484,150.6173
6.494,150.9981
6.504,152.0145
6.514,152.4139
6.524,152.8175
6.534,151.9800
6.544,149.1974
6.553,151.4996
6.563,155.0205
6.573,149.2477
6.583,150.2974
6.593,151.3492
6.603,151.7854
6.613,150.9920
6.623,149.5889
6.633,151.2671
6.643,153.5593
6.653,154.6232
6.662,155.7043
6.672,158.6069
6.682,157.8297
6.692,161.3341
6.702,163.6129
6.712,166.4994
6.722,169.9919
6.732,174.6975
6.752,186.5191
6.771,199.5375
6.791,213.7126
6.811,236.9111
6.831,264.2607
6.851,282.4937
6.871,281.4341
6.89,258.1935
6.91,249.4007
6.93,244.8339
6.95,261.2080
6.97,254.8618
6.989,260.4795
7.009,261.3095
7.029,265.7107
7.049,249.9237
7.069,235.9631
7.089,247.5053
7.098,270.4453
7.109,314.0233
7.109,299.8302
7.118,268.9300
7.128,242.1854
7.148,233.6356
7.168,225.1118
7.188,226.6191
7.207,219.3206
7.227,216.7296
7.247,219.4284
7.267,220.3680
7.287,223.0664
7.307,240.3853
7.326,255.9330
7.346,257.4333
7.366,264.7664
7.386,259.2730
7.406,265.4358
7.427,281.4649
7.445,291.6976
7.465,290.2810
7.485,295.2521
7.505,288.6274
7.525,288.3883
7.544,284.1147
7.564,260.1819
7.584,249.0008
7.605,248.2218
7.625,260.7244
7.645,287.6211
7.664,319.6778
7.684,352.8324
7.704,391.1204
7.724,397.1723
7.744,381.3943
7.763,366.2280
7.783,352.2205
7.803,339.3812
7.823,341.4579
7.843,340.6732
7.863,342.7538
7.882,355.7112
7.902,365.7888
7.922,333.0178
7.941,286.0229
7.962,261.3201
